Time_hours,IWC_g_per_m3,Depth_m,Width_m,Effective_radius_um,Ice_mass,Ice_number,Ice_surface_area,Mean_altitude_m,Area_m2
7.166666666666666,0.0006303783689483065,328.3939879122645,16023.677580108404,18.089942044957677,2.605245047199126,83577662676.27856,343.6858309350086,10397.483224517837,4132827.4819226335
7.333333333333333,0.0005916397461131379,319.4404271126071,16396.088686622556,18.252809624755248,2.433757820207688,76653405399.25525,320.91347794315334,10388.529663718178,4113580.664917475
7.5,0.0005539476576774071,310.15579621580235,16768.499793136703,18.500527817474723,2.2627299392920124,69973255587.61594,300.9520969422349,10379.245032821374,4084735.9997498523
7.666666666666666,0.0005193920464188357,300.0329824287079,17140.91089965085,18.53650125570591,2.097915891513417,63237696957.77106,273.04148061120884,10369.12221903428,4039176.005829065
7.833333333333333,0.0004889645599551062,289.9101686416133,17513.322006165003,18.611461861070236,1.9498412121404893,56497140507.37828,245.91470334026442,10358.999405247185,3987694.3480719994
8.0,0.00045843081864140094,279.78735485451875,17885.73311267915,18.936789455830613,1.8017665327675616,49756584056.9855,224.21275425453942,10348.87659146009,3930291.0264786547
8.166666666666666,0.0004277595037850686,269.66454106742424,18258.1442191933,19.291213903786705,1.654131474872846,44052294642.27077,206.00829315537484,10338.753777672997,3866966.0410490334
8.333333333333332,0.00040085045208202314,257.03960257570463,18630.555325707446,19.511978193516295,1.5076415584903808,38866386305.54076,185.94042625384202,10326.128839181276,3761107.292407102
8.5,0.0003740445811922361,243.82142289703353,19002.966432221598,19.467083696037893,1.3611516421079144,33680477968.810677,160.38992842635085,10312.910659502606,3639009.119633164
8.666666666666666,0.00034613847899810237,230.60324321836254,19375.377538735745,19.592876240839647,1.2146617257254493,29025061629.40551,140.01243107238852,10299.692479823934,3509178.549698626
8.833333333333332,0.0003187519123123136,217.3850635396916,19747.788645249893,19.70600382717855,1.0747089145368578,25123215862.924667,122.59405516614669,10286.474300145264,3371615.58260349
9.0,0.00030470408969823727,201.65778937282272,20120.199751764045,19.676116348600637,0.9709915594867523,21221370096.443787,103.24029545354685,10270.747025978395,3186670.5840685326
9.166666666666666,0.000277633434722724,183.61437351041786,20492.610858278193,19.442678623602347,0.8204754970592373,17897659168.84087,85.01694284740502,10252.70361011599,2955247.439411094
9.333333333333332,0.00023570118274050323,165.57095764801295,20865.02196479234,18.83292601393932,0.6395207645511394,15052725336.199997,67.08845540675239,10234.660194253585,2713269.2212886517
9.5,0.00020246248721252766,147.52754178560787,21237.433071306492,18.207692811067407,0.49820671670053746,12319468595.315578,51.321443771922404,10216.61677839118,2460735.9297012044
9.666666666666666,0.00016893494609080057,128.32204182556416,21509.44911745529,16.210485161127036,0.3662182036477542,11091563260.435675,36.625354914073895,10197.411278431136,2167806.082294638
9.833333333333332,0.00014222635160723808,109.08972392347937,21137.03801094114,14.132780451584999,0.25757156817303956,9863657925.55577,24.75655911879924,10178.17896052905,1810997.5068778424
10.0,9.519096599533543e-05,109.08972392347937,20764.62690442699,12.588583374755864,0.1693532713749243,8635752590.675854,17.196931768201235,10158.946642626966,1779089.744537554
10.166666666666666,6.4391714286623e-05,100.0258146363451,20392.215797912842,10.346571234882354,0.10315644908304386,7407847255.795951,9.965107283671312,10149.882733339833,1602014.3309723004
10.333333333333332,4.071485688176746e-05,100.0258146363451,20019.804691398695,8.97594071959677,0.0640346038718697,6179941920.916047,6.256643363472213,10143.238317234756,1572757.6805150225
