Effective Radius [µm], Depth [m], IWC [g/m³], SW RF [W/m²]
8.457334e+00,1.664746e+02,2.012758e-03,-6.357300e+00
8.457334e+00,1.705785e+02,2.012758e-03,-6.538300e+00
8.457334e+00,1.734503e+02,2.012758e-03,-6.610700e+00
8.457334e+00,1.751509e+02,2.012758e-03,-6.683100e+00
8.457334e+00,1.757141e+02,2.012758e-03,-6.719300e+00
8.457334e+00,1.751509e+02,2.012758e-03,-6.683100e+00
8.457334e+00,1.734503e+02,2.012758e-03,-6.610700e+00
8.457334e+00,1.705785e+02,2.012758e-03,-6.538300e+00
8.457334e+00,1.664746e+02,2.012758e-03,-6.357300e+00
8.457334e+00,1.610446e+02,2.012758e-03,-6.176400e+00
8.457334e+00,1.541484e+02,2.012758e-03,-5.923000e+00
8.457334e+00,1.455778e+02,2.012758e-03,-5.633500e+00
8.457334e+00,1.350143e+02,2.012758e-03,-5.235400e+00
8.457334e+00,1.219410e+02,2.012758e-03,-4.765100e+00
8.457334e+00,1.054284e+02,2.012758e-03,-4.150100e+00
8.457334e+00,8.345956e+01,2.012758e-03,-3.354700e+00
8.457334e+00,4.919994e+01,2.012758e-03,-2.126500e+00
9.276325e+00,5.541140e+01,2.000004e-03,-2.109800e+00
9.276325e+00,9.399627e+01,2.000004e-03,-3.378300e+00
9.276325e+00,1.187387e+02,2.000004e-03,-4.192100e+00
9.276325e+00,1.373360e+02,2.000004e-03,-4.778300e+00
9.276325e+00,1.520597e+02,2.000004e-03,-5.266900e+00
9.276325e+00,1.639569e+02,2.000004e-03,-5.657800e+00
9.276325e+00,1.736095e+02,2.000004e-03,-5.983600e+00
9.276325e+00,1.813764e+02,2.000004e-03,-6.211600e+00
9.276325e+00,1.874919e+02,2.000004e-03,-6.407100e+00
9.276325e+00,1.921139e+02,2.000004e-03,-6.570000e+00
9.276325e+00,1.953483e+02,2.000004e-03,-6.667800e+00
9.276325e+00,1.972636e+02,2.000004e-03,-6.732900e+00
9.276325e+00,1.978978e+02,2.000004e-03,-6.765500e+00
9.276325e+00,1.972636e+02,2.000004e-03,-6.732900e+00
9.276325e+00,1.953483e+02,2.000004e-03,-6.667800e+00
9.276325e+00,1.921139e+02,2.000004e-03,-6.570000e+00
9.276325e+00,1.874919e+02,2.000004e-03,-6.407100e+00
9.276325e+00,1.813764e+02,2.000004e-03,-6.211600e+00
9.276325e+00,1.736095e+02,2.000004e-03,-5.983600e+00
9.276325e+00,1.639569e+02,2.000004e-03,-5.657800e+00
9.276325e+00,1.520597e+02,2.000004e-03,-5.266900e+00
9.276325e+00,1.373360e+02,2.000004e-03,-4.778300e+00
9.276325e+00,1.187387e+02,2.000004e-03,-4.192100e+00
9.276325e+00,9.399627e+01,2.000004e-03,-3.378300e+00
9.276325e+00,5.541140e+01,2.000004e-03,-2.109800e+00
1.013246e+01,6.240759e+01,1.986020e-03,-2.083500e+00
1.013246e+01,1.058642e+02,1.986020e-03,-3.359200e+00
1.013246e+01,1.337305e+02,1.986020e-03,-4.171500e+00
1.013246e+01,1.546759e+02,1.986020e-03,-4.781000e+00
1.013246e+01,1.712587e+02,1.986020e-03,-5.245400e+00
1.013246e+01,1.846579e+02,1.986020e-03,-5.651800e+00
1.013246e+01,1.955293e+02,1.986020e-03,-5.971200e+00
1.013246e+01,2.042768e+02,1.986020e-03,-6.203400e+00
1.013246e+01,2.111644e+02,1.986020e-03,-6.406600e+00
1.013246e+01,2.163700e+02,1.986020e-03,-6.551800e+00
1.013246e+01,2.200128e+02,1.986020e-03,-6.667900e+00
1.013246e+01,2.221699e+02,1.986020e-03,-6.726000e+00
1.013246e+01,2.228842e+02,1.986020e-03,-6.755000e+00
1.013246e+01,2.221699e+02,1.986020e-03,-6.726000e+00
1.013246e+01,2.200128e+02,1.986020e-03,-6.667900e+00
1.013246e+01,2.163700e+02,1.986020e-03,-6.551800e+00
1.013246e+01,2.111644e+02,1.986020e-03,-6.406600e+00
1.013246e+01,2.042768e+02,1.986020e-03,-6.203400e+00
1.013246e+01,1.955293e+02,1.986020e-03,-5.971200e+00
1.013246e+01,1.846579e+02,1.986020e-03,-5.651800e+00
1.013246e+01,1.712587e+02,1.986020e-03,-5.245400e+00
1.013246e+01,1.546759e+02,1.986020e-03,-4.781000e+00
1.013246e+01,1.337305e+02,1.986020e-03,-4.171500e+00
1.013246e+01,1.058642e+02,1.986020e-03,-3.359200e+00
1.013246e+01,6.240759e+01,1.986020e-03,-2.083500e+00
1.103262e+01,7.032539e+01,1.970531e-03,-2.108300e+00
1.103262e+01,1.192954e+02,1.970531e-03,-3.402000e+00
1.103262e+01,1.506973e+02,1.970531e-03,-4.247400e+00
1.103262e+01,1.743000e+02,1.970531e-03,-4.855100e+00
1.103262e+01,1.929867e+02,1.970531e-03,-5.357200e+00
1.103262e+01,2.080860e+02,1.970531e-03,-5.753700e+00
1.103262e+01,2.203366e+02,1.970531e-03,-6.070900e+00
1.103262e+01,2.301939e+02,1.970531e-03,-6.335200e+00
1.103262e+01,2.379554e+02,1.970531e-03,-6.546700e+00
1.103262e+01,2.438214e+02,1.970531e-03,-6.705200e+00
1.103262e+01,2.479264e+02,1.970531e-03,-6.811000e+00
1.103262e+01,2.503571e+02,1.970531e-03,-6.863900e+00
1.103262e+01,2.511621e+02,1.970531e-03,-6.890200e+00
1.103262e+01,2.503571e+02,1.970531e-03,-6.863900e+00
1.103262e+01,2.479264e+02,1.970531e-03,-6.811000e+00
1.103262e+01,2.438214e+02,1.970531e-03,-6.705200e+00
1.103262e+01,2.379554e+02,1.970531e-03,-6.546700e+00
1.103262e+01,2.301939e+02,1.970531e-03,-6.335200e+00
1.103262e+01,2.203366e+02,1.970531e-03,-6.070900e+00
1.103262e+01,2.080860e+02,1.970531e-03,-5.753700e+00
