Effective Radius [µm], Depth [m], IWC [g/m³], LW RF [W/m²]
8.269861e+00,1.664746e+02,2.361671e-03,7.666500e+00
7.982959e+00,1.705785e+02,2.536261e-03,8.600200e+00
7.783011e+00,1.734503e+02,2.669516e-03,9.250500e+00
7.665049e+00,1.751509e+02,2.753090e-03,9.698200e+00
7.626063e+00,1.757141e+02,2.781572e-03,9.867500e+00
7.665049e+00,1.751509e+02,2.753090e-03,9.698200e+00
7.783011e+00,1.734503e+02,2.669516e-03,9.250500e+00
7.982959e+00,1.705785e+02,2.536261e-03,8.600200e+00
8.269861e+00,1.664746e+02,2.361671e-03,7.666500e+00
8.650470e+00,1.610446e+02,2.156138e-03,6.642600e+00
9.132810e+00,1.541484e+02,1.931049e-03,5.520800e+00
9.724805e+00,1.455778e+02,1.697723e-03,4.411700e+00
1.043078e+01,1.350143e+02,1.466477e-03,3.366100e+00
1.124228e+01,1.219410e+02,1.245909e-03,2.455500e+00
1.211132e+01,1.054284e+02,1.042423e-03,1.669100e+00
1.285269e+01,8.345956e+01,8.595524e-04,1.057000e+00
1.238884e+01,4.919994e+01,6.733123e-04,5.503000e-01
1.358855e+01,5.541140e+01,6.690456e-04,5.530000e-01
1.409732e+01,9.399627e+01,8.541058e-04,1.075800e+00
1.328415e+01,1.187387e+02,1.035817e-03,1.696400e+00
1.233096e+01,1.373360e+02,1.238015e-03,2.450200e+00
1.144088e+01,1.520597e+02,1.457184e-03,3.416700e+00
1.066654e+01,1.639569e+02,1.686965e-03,4.491400e+00
1.001721e+01,1.736095e+02,1.918813e-03,5.630300e+00
9.488165e+00,1.813764e+02,2.142476e-03,6.797100e+00
9.070698e+00,1.874919e+02,2.346706e-03,7.904500e+00
8.756013e+00,1.921139e+02,2.520190e-03,8.877600e+00
8.536702e+00,1.953483e+02,2.652601e-03,9.605600e+00
8.407317e+00,1.972636e+02,2.735645e-03,1.007470e+01
8.364556e+00,1.978978e+02,2.763947e-03,1.024920e+01
8.407317e+00,1.972636e+02,2.735645e-03,1.007470e+01
8.536702e+00,1.953483e+02,2.652601e-03,9.605600e+00
8.756013e+00,1.921139e+02,2.520190e-03,8.877600e+00
9.070698e+00,1.874919e+02,2.346706e-03,7.904500e+00
9.488165e+00,1.813764e+02,2.142476e-03,6.797100e+00
1.001721e+01,1.736095e+02,1.918813e-03,5.630300e+00
1.066654e+01,1.639569e+02,1.686965e-03,4.491400e+00
1.144088e+01,1.520597e+02,1.457184e-03,3.416700e+00
1.233096e+01,1.373360e+02,1.238015e-03,2.450200e+00
1.328415e+01,1.187387e+02,1.035817e-03,1.696400e+00
1.409732e+01,9.399627e+01,8.541058e-04,1.075800e+00
1.358855e+01,5.541140e+01,6.690456e-04,5.530000e-01
1.484267e+01,6.240759e+01,6.643673e-04,5.544000e-01
1.539840e+01,1.058642e+02,8.481336e-04,1.090800e+00
1.451018e+01,1.337305e+02,1.028575e-03,1.719700e+00
1.346901e+01,1.546759e+02,1.229358e-03,2.511000e+00
1.249679e+01,1.712587e+02,1.446995e-03,3.422100e+00
1.165098e+01,1.846579e+02,1.675170e-03,4.570900e+00
1.094173e+01,1.955293e+02,1.905396e-03,5.777900e+00
1.036385e+01,2.042768e+02,2.127495e-03,6.954600e+00
9.907856e+00,2.111644e+02,2.330297e-03,8.089400e+00
9.564128e+00,2.163700e+02,2.502569e-03,9.106400e+00
9.324577e+00,2.200128e+02,2.634054e-03,9.908800e+00
9.183250e+00,2.221699e+02,2.716517e-03,1.040100e+01
9.136543e+00,2.228842e+02,2.744621e-03,1.058210e+01
9.183250e+00,2.221699e+02,2.716517e-03,1.040100e+01
9.324577e+00,2.200128e+02,2.634054e-03,9.908800e+00
9.564128e+00,2.163700e+02,2.502569e-03,9.106400e+00
9.907856e+00,2.111644e+02,2.330297e-03,8.089400e+00
1.036385e+01,2.042768e+02,2.127495e-03,6.954600e+00
1.094173e+01,1.955293e+02,1.905396e-03,5.777900e+00
1.165098e+01,1.846579e+02,1.675170e-03,4.570900e+00
1.249679e+01,1.712587e+02,1.446995e-03,3.422100e+00
1.346901e+01,1.546759e+02,1.229358e-03,2.511000e+00
1.451018e+01,1.337305e+02,1.028575e-03,1.719700e+00
1.539840e+01,1.058642e+02,8.481336e-04,1.090800e+00
1.484267e+01,6.240759e+01,6.643673e-04,5.544000e-01
1.616127e+01,7.032539e+01,6.591858e-04,5.696000e-01
