Tempearture [C],Temperature [K],IWC [g/m3]
-67.83363992,205.3163601,0.000136141
-67.78110822,205.3688918,0.000109555
-67.78110822,205.3688918,4.45726E-05
-67.80737407,205.3426259,1.76227E-05
-67.66410579,205.4858942,0.000991014
-67.60475179,205.5452482,0.002705742
-67.63476991,205.5152301,0.001675547
-67.59724727,205.5527527,0.001292602
-67.54471557,205.6052844,0.002039306
-67.57098142,205.5790186,0.000529893
-67.44840745,205.7015926,0.001102371
-67.45397899,205.696021,0.000681839
-67.57098142,205.5790186,0.000432933
-67.46591801,205.684082,0.000365204
-67.59724727,205.5527527,5.65157E-05
-67.49218386,205.6578161,0.000274285
-67.41338631,205.7366137,0.000218133
-67.41338631,205.7366137,0.000174595
-67.41338631,205.7366137,0.000157868
-67.34209329,205.8079067,0.000970835
-67.38712046,205.7628795,0.000135208
-67.33458876,205.8154112,0.009976433
-67.32708423,205.8229158,0.002891255
-67.29638389,205.8536161,0.001695942
-67.30832291,205.8416771,0.001428226
-67.30832291,205.8416771,0.001265561
-67.36085461,205.7891454,0.029412617
-67.36085461,205.7891454,0.006693273
-67.25579121,205.8942088,0.003524123
-67.23702989,205.9129701,0.002622377
-67.25579121,205.8942088,0.002289425
-67.25579121,205.8942088,0.002027991
-67.19200272,205.9579973,0.078943504
-67.25579121,205.8942088,0.00548219
-67.22952536,205.9204746,0.000318879
-67.18224683,205.9677532,0.000249072
-67.20325951,205.9467405,7.26262E-05
-67.28205706,205.8679429,4.53989E-05
-67.22952536,205.9204746,0.10612992
-67.15072781,205.9992722,0.04098167
-67.13947102,206.010529,0.001107048
-67.12446196,206.025538,0.000677883
-67.15072781,205.9992722,0.000480519
-67.13196649,206.0180335,0.000360106
-67.22952536,205.9204746,0.000109352
-67.25579121,205.8942088,1.74132E-05
-67.12446196,206.025538,0.049638504
-67.09819611,206.0518039,0.000215556
-67.09819611,206.0518039,0.000161891
-67.07193026,206.0780697,8.49724E-05
-67.15072781,205.9992722,4.05873E-05
-67.08068554,206.0693145,0.058564656
-67.05617075,206.0938293,0.000929204
